year,qtr,cat,state,txns,tpv,atv
2022,Q1,P2M,NULL,12999.59455,13324453.85,1024.989957
2022,Q1,P2M,andhra pradesh,294129877.5,2.04691E+11,695.9220386
2022,Q1,P2M,assam,31737927.84,23425085545,738.0786063
2022,Q1,P2M,bihar,146310201.8,1.11387E+11,761.3063737
2022,Q1,P2M,chandigarh,5588054.538,4024290521,720.1594927
2022,Q1,P2M,gujarat,132788510.7,1.00109E+11,753.8966814
2022,Q1,P2M,haryana,117491326.8,77756801653,661.8088649
2022,Q1,P2M,himachal pradesh,10370579.75,7045170539,679.3420148
2022,Q1,P2M,jammu & kashmir,9982389.988,7265943698,727.8761606
2022,Q1,P2M,jharkhand,65033485.37,41372870430,636.1779658
2022,Q1,P2M,lakshadweep,8473.045754,6348568.086,749.2663524
2022,Q1,P2M,madhya pradesh,287712440.3,1.69463E+11,589.0028311
2022,Q1,P2M,maharashtra,757540422.1,4.0651E+11,536.6183502
2022,Q1,P2M,manipur,2796654.317,1975133015,706.2485352
2022,Q1,P2M,puducherry,4458006.948,2675897404,600.2452295
2022,Q1,P2M,punjab,35407063.71,29744773777,840.0802175
2022,Q1,P2M,rajasthan,323238751.9,2.07525E+11,642.0169121
2022,Q1,P2M,sikkim,827537.5684,716470194.9,865.7857023
2022,Q1,P2M,uttarakhand,28361001.31,17443261061,615.0439072
2022,Q1,P2M,andaman & nicobar islands,452220.9346,446701696.3,987.7952616
2022,Q1,P2M,arunachal pradesh,1401522.546,1157450378,825.8521286
2022,Q1,P2M,chhattisgarh,59963113.35,39453184934,657.9575797
2022,Q1,P2M,dadra & nagar haveli & daman & diu,3057357.621,1562261350,510.9841711
2022,Q1,P2M,delhi,205888017.6,1.2166E+11,590.9031356
2022,Q1,P2M,goa,7573943.575,5366614761,708.5628125
2022,Q1,P2M,karnataka,668383083.4,3.2345E+11,483.9293021
2022,Q1,P2M,kerala,62193557.3,35365672241,568.6388394
2022,Q1,P2M,ladakh,287648.095,339798938.2,1181.300847
2022,Q1,P2M,meghalaya,875050.9737,763166322.6,872.139276
2022,Q1,P2M,mizoram,302805.5465,253877873.6,838.4188354
2022,Q1,P2M,nagaland,963483.9564,746596077.3,774.89207
2022,Q1,P2M,odisha,144644646.1,86779850672,599.9520411
2022,Q1,P2M,tamil nadu,175199828.9,1.03157E+11,588.7990416
2022,Q1,P2M,telangana,518417769.7,2.95349E+11,569.7115733
2022,Q1,P2M,tripura,1650087.412,1312617730,795.4837547
2022,Q1,P2M,uttar pradesh,278375442.2,1.98364E+11,712.5782697
2022,Q1,P2M,west bengal,135720622.7,1.05083E+11,774.2590675
