acquisition_month,metric_name,metric_value
202005,users,3380658
202008,users,3854436
202004,users,3969827
202009,users,4109839
202003,users,3732579
202006,users,3220043
202010,users,4544030
202011,users,4241359
202001,users,4064000
202002,users,3638515
202007,users,3971161
202012,users,4345737
202005,total_6month_repeat_txns,79360385
202012,total_6month_repeat_txns,0
202007,total_6month_repeat_txns,93819222
202010,total_6month_repeat_txns,57923693
202011,total_6month_repeat_txns,26217134
202001,total_6month_repeat_txns,92671696
202004,total_6month_repeat_txns,87456694
202003,total_6month_repeat_txns,90397085
202008,total_6month_repeat_txns,81580435
202006,total_6month_repeat_txns,88950038
202002,total_6month_repeat_txns,83490117
202009,total_6month_repeat_txns,75867710
202005,total_3month_repeat_txns,35720623
202012,total_3month_repeat_txns,0
202007,total_3month_repeat_txns,53471925
202010,total_3month_repeat_txns,57923693
202011,total_3month_repeat_txns,26217134
202001,total_3month_repeat_txns,45959162
202004,total_3month_repeat_txns,42064106
202003,total_3month_repeat_txns,42884479
202008,total_3month_repeat_txns,60657083
202006,total_3month_repeat_txns,39983538
202002,total_3month_repeat_txns,39468902
202009,total_3month_repeat_txns,75867710
202005,total_6month_repeat_users,2635711
202012,total_6month_repeat_users,0
202007,total_6month_repeat_users,2969642
202010,total_6month_repeat_users,3428016
202011,total_6month_repeat_users,2812757
202001,total_6month_repeat_users,3129635
202004,total_6month_repeat_users,3214786
202003,total_6month_repeat_users,3005939
202008,total_6month_repeat_users,2942625
202006,total_6month_repeat_users,2481324
202002,total_6month_repeat_users,2815984
202009,total_6month_repeat_users,3200583
202005,total_3month_repeat_users,2421672
202012,total_3month_repeat_users,0
202007,total_3month_repeat_users,2798147
202010,total_3month_repeat_users,3428016
202011,total_3month_repeat_users,2812757
202001,total_3month_repeat_users,2918913
202004,total_3month_repeat_users,3004097
202003,total_3month_repeat_users,2778410
202008,total_3month_repeat_users,2849889
202006,total_3month_repeat_users,2286136
202002,total_3month_repeat_users,2613202
202009,total_3month_repeat_users,3200583
202103,users,4482599
202106,users,4012335
202104,users,4154027
202107,users,4446769
202110,users,4873466
202102,users,4150494
202108,users,4735327
202101,users,4447800
202111,users,4676433
202105,users,3967594
202112,users,5045706
202109,users,4678393
202109,total_6month_repeat_txns,137270788
202105,total_6month_repeat_txns,170282246
202112,total_6month_repeat_txns,0
202111,total_6month_repeat_txns,48123251
202106,total_6month_repeat_txns,201058516
202101,total_6month_repeat_txns,188554513
202103,total_6month_repeat_txns,205866528
202102,total_6month_repeat_txns,192201731
202107,total_6month_repeat_txns,204773491
202104,total_6month_repeat_txns,194888982
202108,total_6month_repeat_txns,177778210
202110,total_6month_repeat_txns,94761521
202109,total_3month_repeat_txns,137270788
202105,total_3month_repeat_txns,80977659
202112,total_3month_repeat_txns,0
202111,total_3month_repeat_txns,48123251
202106,total_3month_repeat_txns,95761509
202101,total_3month_repeat_txns,90890356
202103,total_3month_repeat_txns,94817835
202102,total_3month_repeat_txns,90996001
202107,total_3month_repeat_txns,121198859
202104,total_3month_repeat_txns,90148826
202108,total_3month_repeat_txns,132121592
202110,total_3month_repeat_txns,94761521
202109,total_6month_repeat_users,3865680
202105,total_6month_repeat_users,3358673
202112,total_6month_repeat_users,0
202111,total_6month_repeat_users,3402846
202106,total_6month_repeat_users,3418859
202101,total_6month_repeat_users,3746247
202103,total_6month_repeat_users,3834515
202102,total_6month_repeat_users,3557067
202107,total_6month_repeat_users,3793127
202104,total_6month_repeat_users,3575114
202108,total_6month_repeat_users,3976275
202110,total_6month_repeat_users,3874699
202109,total_3month_repeat_users,3865680
202105,total_3month_repeat_users,3172377
202112,total_3month_repeat_users,0
202111,total_3month_repeat_users,3402846
202106,total_3month_repeat_users,3234886
202101,total_3month_repeat_users,3509533
202103,total_3month_repeat_users,3614094
202102,total_3month_repeat_users,3364574
202107,total_3month_repeat_users,3650883
202104,total_3month_repeat_users,3371725
202108,total_3month_repeat_users,3885047
202110,total_3month_repeat_users,3874699
202202,users,4700334
202203,users,4892501
202201,users,5292567
202201,total_6month_repeat_txns,107710235
202203,total_6month_repeat_txns,0
202202,total_6month_repeat_txns,53013042
202201,total_3month_repeat_txns,107710235
202203,total_3month_repeat_txns,0
202202,total_3month_repeat_txns,53013042
202201,total_6month_repeat_users,4201047
202203,total_6month_repeat_users,0
202202,total_6month_repeat_users,3424648
202201,total_3month_repeat_users,4201047
202203,total_3month_repeat_users,0
202202,total_3month_repeat_users,3424648
