revenue_date,revenue_category,revenue_subcategory,revenue_subcategory_2,revenue_driver
18-05-2022,Interest,Interest,Interest,889890.4967
18-05-2022,Interest,Interest,Interest,889890.4967
17-05-2022,Interest,Interest,Interest,870380.8713
16-05-2022,Interest,Interest,Interest,848497.1773
15-05-2022,Interest,Interest,Interest,823778.3899
14-05-2022,Interest,Interest,Interest,809466.6823
13-05-2022,Interest,Interest,Interest,798362.2218
12-05-2022,Interest,Interest,Interest,797576.3383
11-05-2022,Interest,Interest,Interest,797413.2262
10-05-2022,Interest,Interest,Interest,796415.2777
09-05-2022,Interest,Interest,Interest,795886.569
08-05-2022,Interest,Interest,Interest,794772.5069
07-05-2022,Interest,Interest,Interest,778445.9674
06-05-2022,Interest,Interest,Interest,771522.0441
05-05-2022,Interest,Interest,Interest,768481.9999
04-05-2022,Interest,Interest,Interest,772567.5766
04-05-2022,Interest,Interest,Interest,772567.5766
03-05-2022,Interest,Interest,Interest,797263.2779
02-05-2022,Interest,Interest,Interest,772695.7217
01-05-2022,Interest,Interest,Interest,821582.822
